732,4,Masculino,1 a 5 años,20 a 29 años,Dirección General,,Bueno,Bueno,Excelente,Bueno,Bueno,Excelente,Excelente,Bueno,Bueno,Regular,Excelente,Bueno,Regular,Regular,Excelente,Bueno,Bueno,,,,"Reconociendo de verdad el valor de su capital humano, ser mas claros con los procesos de contratación, que las personas sepan cuando hay una vacante y puedan aplicar, que los procesos sean claros, que exista una RETROALIMENTACIÓN del por que no son tomados en cuenta antes de traer personas externas que a la vista de todos parecen incompetentes para desarrollar el puesto que pudo ser para otra persona, hacerles ver a la gente que se Cuida el DINERO para que la gente pueda tener mejores prestaciones o que se invierte en cosas que en verdad se ocupan, no lujos inecesarios,  tener UTILIDADES COMPETITIVAS. Activar actividades con la familia o empleados, parrilladas para los sindicalizados, adminstrativos, torneos de boliche, paseos para las familias bosque mágico etc... ",Asegurarme que se cumplan los procesos establecidos en el SGC en auditorías próximas.
733,4,Masculino,1 a 5 años,30 a 39 años,Cadena de Suministro,Bueno,Regular,Bueno,Regular,Regular,Regular,Bueno,Bueno,Regular,Regular,Bueno,,Regular,,Bueno,,,,Regular,Bueno,.,"La discrecionalidad no debe existir. Si las personas están en un tabulador general, con sus prestaciones ya definidas, porque hay coordinadores que unos si tienen SGMM y otros no? Porque unas direcciones tienen mas peso que otras? A partir de que veamos eso, no habrá diferencias y serán claras las reglas para todos. Nadie preguntaría. Ni seria tema de comedor.","Yo he intentado hacer dinámicas nuevas y diferentes en mi departamento, como forma de integración y saber el verdadero equipo de trabajo. Pero creo que hay mucha gente que es tóxica, tiene mucho tiempo en la organización que ya no solo esta viciada, si no que no aporta y contamina a las personas que llegan."
734,4,Masculino,5 años en adelante,40 a 49 años,Comercial Infraestructura,Bueno,Excelente,Excelente,,Bueno,,Regular,Excelente,Excelente,Bueno,Excelente,Excelente,Bueno,Bueno,Excelente,Excelente,Excelente,Excelente,Bueno,Bueno,Sistemas necesita mayor atención con equipos de computo y telefonía para otras áreas.  Dirección requiere dar mayor apoyo en varias áreas.  Electrico necesita apoyo para incrementar su productividad,Mejorar la comunicación entre departamentos y las direcciones,"Con este tipo de encuestas, ya que siempre realizamos nuestras autocapacitaciones"
735,4,Masculino,1 a 5 años,40 a 49 años,Administración y Finanzas,Excelente,Excelente,Excelente,Bueno,Excelente,Regular,Bueno,Bueno,Bueno,Regular,Excelente,Bueno,Bueno,,Excelente,,,Excelente,Excelente,Bueno,"En general muy buen desempeño de todas las áreas, esto ha contribuido a los resultados de ADS Mexicana, la cultura de servicio es una fortaleza que se debe desarrollar, pero creo que con los cambios que se han estado realizando estamos avanzando muy bien en este tema.","Debemos reforzar los valores y cultura que deseamos tener como compañía, el establecimiento de los objetivos individuales para 2019 y las evaluaciones periódicas serán claves para lograr un mejor clima organizacional.","Apoyando las iniciativas que Capital Humano y dirección general llevan a cabo, asegurandome de cumplir con mis objetivos e incentivar a que mi equipo haga lo propio. "
736,4,Masculino,5 años en adelante,40 a 49 años,Comercial Infraestructura,Bueno,Regular,,,,,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,,,,,,,,Faltó que se agregaran los laboratorios. ,"Seleccionar solo UNO de nuestros valores, hacer una campaña de difusión, capacitarnos, evaluarnos y dar retroalimentación. Desde mi perspectiva es mejor especializarnos en uno valor y a medida que vayamos madurando vamos incorporando otros valores.","Con el ejemplo, (1) mantener relaciones de respeto con mis compañeros, (2) dar retroalimentación de forma oportuna (3) mantener actitud de servicio"
737,4,Masculino,5 años en adelante,30 a 39 años,Manufactura,Excelente,Regular,,,,,Excelente,Bueno,Malo,Malo,Bueno,,Regular,Bueno,Bueno,,Excelente,,,,sistemas esta muy organizado y da prontas respuestas,dando el bono que quito a los empleados en diciembre,seguir haciendo las cosas bien e irme preparando conforme pase el tiempo
738,4,Masculino,1 a 5 años,30 a 39 años,Administración y Finanzas,Bueno,Excelente,Bueno,Bueno,Bueno,Bueno,,Bueno,Regular,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,"Me gustaría que si la encuesta es de carácter confidencial, no tuviera un numero de usuario ya que me hace pensar que no lo es.",Tomando en cuenta y aplicando la información obtenida en encuestas.,"La mejora de nuestro clima organizacional depende de las buenas practicas dentro de la empresa, de una buena comunicación, de reconocer a personas de experiencia en la empresa y apoyar a que la gente que tiene años trabajando en la empresa siga teniendo ese amor por la empresa y en automático da lo mejor de si para bien de la empresa y satisfacción personal."
739,4,Masculino,1 a 5 años,30 a 39 años,Manufactura,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Malo,Excelente,Excelente,Excelente,Bueno,Bueno,Bueno,Bueno,Excelente,,,Solo en Seguridad hay que trabajar en el manejo de informacion ,En general es muy bueno solo hay que mejorar la relacion que se tiene el Departamento de Seguridad en el manejo de informacion,Dandole el servicio adecuado y oportuno con as areas con el que interactuo  
740,4,Masculino,1 a 5 años,30 a 39 años,Capital Humano,Regular,Malo,,Regular,Malo,,Bueno,Bueno,Regular,Bueno,,,Bueno,Malo,Bueno,Bueno,Regular,,,,Mal servicio en compras es una área importante de mejorar  Comedor se requiere un cambio,Mayor integración solo se busca culpables en lugar de ayudar o solucionar problemas y la gente nueva ponga de su parte en el clima ya que aquí esta la causa principal.,Impulsando una actividad que promueva su familia a ADS o apoyar a la comunidad esto ya no se hace desde hace muchos años.
741,4,Masculino,5 años en adelante,40 a 49 años,Manufactura,,,,,,Bueno,Bueno,Bueno,Bueno,Regular,Bueno,Bueno,Bueno,Bueno,Bueno,,,,,,todo esta muy bien,tener mas prestaciones,cumpliendo con mi trabajo
742,4,Masculino,5 años en adelante,40 a 49 años,Comercial Infraestructura,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Regular,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,tiempos de respuesta del area de servicio a cliente malísimos cuando se solicita un flete... ,sin comentarios,sin comentarios
